Throttle,Left Front RPM,Right Front RPM,Left Rear RPM,Right Rear RPM
0.1,8.43174,8.43174,8.43174,8.43174
0.1,8.49602,8.49602,8.49602,8.49602
0.1,8.56028,8.56028,8.56028,8.56028
0.1,8.62487,8.62487,8.62487,8.62487
0.1,8.68986,8.68986,8.68986,8.68986
0.1,8.75424,8.75424,8.75424,8.75424
0.1,8.81987,8.81987,8.81987,8.81987
0.1,8.88349,8.88349,8.88349,8.88349
0.1,8.94808,8.94808,8.94808,8.94808
0.1,9.01234,9.01234,9.01234,9.01234
0.1,9.077,9.077,9.077,9.077
0.1,9.14224,9.14224,9.14224,9.14224
0.1,9.20622,9.20622,9.20622,9.20622
0.1,9.27061,9.27061,9.27061,9.27061
0.1,9.33508,9.33508,9.33508,9.33508
0.1,9.39956,9.39956,9.39956,9.39956
0.1,9.46393,9.46393,9.46393,9.46393
0.1,9.52868,9.52868,9.52868,9.52868
0.1,9.59317,9.59317,9.59317,9.59317
0.1,9.65752,9.65752,9.65752,9.65752
0.1,9.7219,9.7219,9.7219,9.7219
0.1,9.78657,9.78657,9.78657,9.78657
0.1,9.85112,9.85112,9.85112,9.85112
0.1,9.9148,9.9148,9.9148,9.9148
0.1,9.97991,9.97991,9.97991,9.97991
0.1,10.045,10.045,10.045,10.045
0.1,10.1087,10.1087,10.1087,10.1087
0.1,10.1731,10.1731,10.1731,10.1731
0.1,10.2378,10.2378,10.2378,10.2378
0.1,10.3024,10.3024,10.3024,10.3024
0.1,10.3667,10.3667,10.3667,10.3667
0.1,10.4311,10.4311,10.4311,10.4311
0.1,10.4955,10.4955,10.4955,10.4955
0.1,10.5598,10.5598,10.5598,10.5598
0.1,10.6251,10.6251,10.6251,10.6251
0.1,10.6889,10.6889,10.6889,10.6889
0.1,10.753,10.753,10.753,10.753
0.1,10.8176,10.8176,10.8176,10.8176
0.1,10.8821,10.8821,10.8821,10.8821
0.1,10.945,10.945,10.945,10.945
0.1,11.0112,11.0112,11.0112,11.0112
0.1,11.0753,11.0753,11.0753,11.0753
0.1,11.1395,11.1395,11.1395,11.1395
0.1,11.2038,11.2038,11.2038,11.2038
0.1,11.2682,11.2682,11.2682,11.2682
0.1,11.333,11.333,11.333,11.333
0.1,11.3969,11.3969,11.3969,11.3969
0.1,11.4614,11.4614,11.4614,11.4614
0.1,11.5254,11.5254,11.5254,11.5254
0.1,11.5899,11.5899,11.5899,11.5899
0.1,11.6544,11.6544,11.6544,11.6544
0.1,11.7186,11.7186,11.7186,11.7186
0.1,11.7831,11.7831,11.7831,11.7831
0.1,11.8474,11.8474,11.8474,11.8474
0.1,11.9124,11.9124,11.9124,11.9124
0.1,11.9759,11.9759,11.9759,11.9759
0.1,12.0404,12.0404,12.0404,12.0404
0.1,12.1047,12.1047,12.1047,12.1047
0.1,12.1689,12.1689,12.1689,12.1689
0.1,12.2333,12.2333,12.2333,12.2333
0.1,12.2976,12.2976,12.2976,12.2976
