1.593903352205289670e+00 -5.165214119426270872e-02 5.992535519035995240e-01 5.165214119426270872e-02
1.683738188538142611e+00 9.080192368957820115e-01 6.846136154806907737e-01 8.661851896045522636e-01
1.469296203613686735e+00 2.053244535386824499e+00 5.702525873910050391e-01 1.615385452885110151e+00
6.823680382624693896e-01 2.876793881959577526e+00 1.645666978611021181e-01 2.021292992492742080e+00
-2.860362575303432298e-01 3.140507443125607701e+00 -3.408483752667983424e-01 2.142010757227629902e+00
-9.999999999999998890e-01 3.027184168261271680e+00 -9.999999999999998890e-01 2.027184168261271680e+00
-1.874706292826336718e+00 3.104508601899754083e+00 -1.498409074376521044e+00 2.178009598453483520e+00
-2.524504649102286891e+00 2.414673087772837956e+00 -1.852201885187305441e+00 1.674396792304533310e+00
-3.229715243947175907e+00 1.883646002977058309e+00 -2.365147457864699376e+00 1.381129791031169951e+00
-3.422740513711127086e+00 7.883900093893302374e-01 -2.422851440053401362e+00 7.734957024267693493e-01
-3.304424678350185385e+00 -1.304706167647332604e-01 -2.339069990867848947e+00 1.304706167647338155e-01
-2.962962734862376823e+00 -8.968129571173830694e-01 -2.121784005866028888e+00 -3.560557603237682334e-01
-2.582501648447218301e+00 -1.295860750684584728e+00 -1.717933862364741771e+00 -7.933445387386963699e-01
-2.396153433053618720e+00 -1.872032805354816087e+00 -1.510324899401996213e+00 -1.408020080347606839e+00
-1.794587345775819021e+00 -2.608838673638579575e+00 -1.331314425927081935e+00 -1.722623010419504386e+00
-8.310051960024900097e-01 -2.608911098300246145e+00 -1.168994803997510434e+00 -1.667761256411414594e+00
-3.450290148583113892e-01 -2.259163928153278267e+00 -7.213262333081270627e-01 -1.332664924707008147e+00
1.762787800867351429e-01 -2.199882907915738262e+00 -1.652668288975851496e-01 -1.260017706419518380e+00
8.828819104965404119e-01 -1.773086517495532810e+00 2.086453787216433486e-01 -1.034571047637142804e+00
1.472818942794661634e+00 -9.979188813658539381e-01 5.419119590477508019e-01 -6.326625499885205617e-01
