0	0	0.458	1.111
1	0	0.989	0.802
2	0	1.3667	0.285
3	0	1.391	-0.271
4	0	1.06	-0.905
5	0	0.6	-1.289
6	0	-0.072	-1.725
7	0	-0.802	-1.839
8	0	-1.364	-1.283
9	0	-1.577	-0.516
10	0	-1.593	0.0175
11	0	-1.246	0.554
12	0	-0.7999	0.971
13	0	-0.223	1.113
0	1	0.592	2
1	1	1.352	1.686
2	1	2.002	1.159
3	1	2.349	0.548
4	1	2.378	-0.219
5	1	2.168	-0.884
6	1	1.751	-1.765
7	1	1.237	-2.034
8	1	0.582	-2.499
9	1	-0.116	-2.84
10	1	-0.86	-3.0395
11	1	-1.487	-2.763
12	1	-2.072	-2.144
13	1	-2.334	-1.433
14	1	-2.47	-0.639
15	1	-2.488	0.0835
16	1	-2.271	0.802
17	1	-1.94	1.326
18	1	-1.308	1.825
19	1	-0.779	2.013
20	1	-0.161	2.069
